x,y,measures
0.22,0.97,0.000874169572754497
0.87,0.21,0.0114618707093073
0.21,0.47,0.0321325316467174
0.91,0.94,-0.000252686812114481
0.49,0.35,0.0410139442503258
0.61,0.56,0.0360007644716728
0.76,0.82,0.0129041285846615
0.52,0.33,0.0395895273963738
0.3,0.38,0.0389225398229157
0.19,0.58,0.027582764265191
