"","x"
"1",1.09095936943388e-187
"2",3.42560183000957e-187
"3",1.07391463252923e-186
"4",3.36129564761803e-186
"5",1.05038194257807e-185
"6",3.27710886797218e-185
"7",1.02079160476559e-184
"8",3.17457375028343e-184
"9",9.85678713462697e-184
"10",3.05552947463921e-183
"11",9.45667012289565e-183
"12",2.92206711609488e-182
"13",9.01450415430345e-182
"14",2.77646840558835e-181
"15",8.53772956265849e-181
"16",2.62114079647259e-180
"17",8.0340797372705e-180
"18",2.4585514106358e-179
"19",7.5113735155587e-179
"20",2.29116239471896e-178
"21",6.97731580272992e-178
"22",2.12137002671332e-177
"23",6.43931344929748e-177
"24",1.95144962436829e-176
"25",5.90431227286293e-176
"26",1.7835079292851e-175
"27",5.37865986474762e-175
"28",1.61944420772915e-174
"29",4.86799738651138e-174
"30",1.46092084376132e-173
"31",4.37718202305381e-173
"32",1.30934372837213e-172
"33",3.91024037689136e-172
"34",1.16585230186917e-171
"35",3.47035167548176e-171
"36",1.03131870795799e-170
"37",3.05985850982187e-170
"38",9.06355179771952e-170
"39",2.6803018979904e-169
"40",7.91328514765969e-169
"41",2.33247673296083e-168
"42",6.86380324110677e-168
"43",2.01650327168709e-167
"44",5.91451637889022e-167
"45",1.73191013655947e-166
"46",5.0631044199593e-166
"47",1.47772438290689e-165
"48",4.30580772032831e-165
"49",1.25256443938503e-164
"50",3.63772106049959e-164
"51",1.05473219385158e-163
"52",3.05307958171316e-163
"53",8.82301032648828e-163
"54",2.54552765064243e-162
"55",7.33197288196894e-162
"56",2.10836362302283e-161
"57",6.05273205233788e-161
"58",1.73475557268436e-160
"59",4.96370181760252e-160
"60",1.41792503941752e-159
"61",4.04371650560322e-159
"62",1.15129765678381e-158
"63",3.27245500590106e-158
"64",9.28621095868452e-158
"65",2.63076383405406e-157
"66",7.4405201354408e-157
"67",2.10088610653194e-156
"68",5.92214677270637e-156
"69",1.6666059861925e-155
"70",4.68234589242716e-155
"71",1.31331984241776e-154
"72",3.67750823408824e-154
"73",1.0280461612126e-153
"74",2.86910916913792e-153
"75",7.9938631982509e-153
"76",2.22352091028842e-152
"77",6.17447849456342e-152
"78",1.71172343918975e-151
"79",4.73740876880153e-151
"80",1.30894610938818e-150
"81",3.61057208096024e-150
"82",9.94267681084862e-150
"83",2.73340121194541e-149
"84",7.50198011473883e-149
"85",2.05551482267423e-148
"86",5.62260028780667e-148
"87",1.53541372751455e-147
"88",4.18586251064868e-147
"89",1.13924086397364e-146
"90",3.09540108550321e-146
"91",8.39631680316111e-146
"92",2.27368839085204e-145
"93",6.14671459363177e-145
"94",1.65891779477893e-144
"95",4.46967696693791e-144
"96",1.20225503524153e-143
"97",3.22839015930819e-143
"98",8.65454252352718e-143
"99",2.31617121493078e-142
"100",6.18821509244613e-142
"101",1.65054775910078e-141
"102",4.39499619917765e-141
"103",1.16830541381085e-140
"104",3.10042704750483e-140
"105",8.21398027904933e-140
"106",2.17246394265093e-139
"107",5.73611771211092e-139
"108",1.51199329990178e-138
"109",3.97876044979746e-138
"110",1.04522939439931e-137
"111",2.74120250200943e-137
"112",7.17688679038509e-137
"113",1.87584234127882e-136
"114",4.89464986830122e-136
"115",1.27500468700939e-135
"116",3.31563401809186e-135
"117",8.60767478927171e-135
"118",2.23084490521247e-134
"119",5.77187581810215e-134
"120",1.49083117020442e-133
"121",3.84417942595335e-133
"122",9.89560504147509e-133
"123",2.5429884922363e-132
"124",6.52393459525293e-132
"125",1.67085125987633e-131
"126",4.27197596592261e-131
"127",1.09039151019093e-130
"128",2.77842455282848e-130
"129",7.06768327623568e-130
"130",1.79480684062137e-129
"131",4.55009393852218e-129
"132",1.15155548201275e-128
"133",2.90945121099546e-128
"134",7.33835726345124e-128
"135",1.84777054910639e-127
"136",4.64470896319859e-127
"137",1.16554785740618e-126
"138",2.91986463287139e-126
"139",7.30224158389539e-126
"140",1.8230996963873e-125
"141",4.54386330365629e-125
"142",1.13057815735993e-124
"143",2.80825343027624e-124
"144",6.96357508789977e-124
"145",1.72380593442681e-123
"146",4.25995011188063e-123
"147",1.05094643132264e-122
"148",2.58831105412078e-122
"149",6.3637348057116e-122
"150",1.56195061810608e-121
"151",3.82720786122593e-121
"152",9.3617326113435e-121
"153",2.28607122854981e-120
"154",5.57291653740405e-120
"155",1.35623357817081e-119
"156",3.29492503776192e-119
"157",7.99126622556592e-119
"158",1.93483796601816e-118
"159",4.67662418818598e-118
"160",1.12844174502662e-117
"161",2.7182196802207e-117
"162",6.53655072278251e-117
"163",1.56917483316322e-116
"164",3.7605606093519e-116
"165",8.99688891120712e-116
"166",2.14877321128483e-115
"167",5.12326965622824e-115
"168",1.21944499762997e-114
"169",2.89758073335073e-114
"170",6.87332949983379e-114
"171",1.62763506988707e-113
"172",3.84773486527397e-113
"173",9.0805349755029e-113
"174",2.13932075575583e-112
"175",5.03151213811683e-112
"176",1.18135188054003e-111
"177",2.76896933371743e-111
"178",6.47910651405502e-111
"179",1.51345735682054e-110
"180",3.52925750966869e-110
"181",8.21588956117827e-110
"182",1.90934287596189e-109
"183",4.42966973877e-109
"184",1.02592796390707e-108
"185",2.37203173044687e-108
"186",5.47497626082908e-108
"187",1.26154318679003e-107
"188",2.90188474492727e-107
"189",6.66371437642991e-107
"190",1.52760401488998e-106
"191",3.4959357314737e-106
"192",7.98682838182438e-106
"193",1.82156034682031e-105
"194",4.14735404972206e-105
"195",9.42664252002171e-105
"196",2.13895371634462e-104
"197",4.84511631133467e-104
"198",1.09563412078292e-103
"199",2.47334936992792e-103
"200",5.57396217548099e-103
"201",1.25401075745576e-102
"202",2.81641899328142e-102
"203",6.31469082034227e-102
"204",1.41340236421365e-101
"205",3.1581918157446e-101
"206",7.0448254869956e-101
"207",1.56877659159327e-100
"208",3.48747554227847e-100
"209",7.73963601812301e-100
"210",1.71470451056575e-99
"211",3.7924295730105e-99
"212",8.3734674690593e-99
"213",1.84566480344647e-98
"214",4.06125358978507e-98
"215",8.92128225122991e-98
"216",1.95638559938492e-97
"217",4.28293770078985e-97
"218",9.36028989165141e-97
"219",2.04219499407981e-96
"220",4.44800850609393e-96
"221",9.67151781945033e-96
"222",2.09934794509909e-95
"223",4.54920086298364e-95
"224",9.84117252345214e-95
"225",2.12529768668992e-94
"226",4.58198894617618e-94
"227",9.8616549715572e-94
"228",2.11888423526069e-93
"229",4.54492246886016e-93
"230",9.73212593214608e-93
"231",2.08042050368765e-92
"232",4.43973319415602e-92
"233",9.4585625700195e-92
"234",2.01166712317793e-91
"235",4.27120084259508e-91
"236",9.05330102811765e-91
"237",1.91569876820258e-90
"238",4.04679284202363e-90
"239",8.53411377297467e-90
"240",1.79667613018549e-89
"241",3.77611575341478e-89
"242",7.92291783203605e-89
"243",1.65954710275795e-88
"244",3.47023450775685e-88
"245",7.24424465219122e-88
"246",1.50970703106982e-87
"247",3.14092651045948e-87
"248",6.5236199267224e-87
"249",1.35265037769877e-86
"250",2.79994020307376e-86
"251",5.78600106521223e-86
"252",1.19364473011434e-85
"253",2.45832193859972e-85
"254",5.05440226499041e-85
"255",1.03745318113168e-84
"256",2.12586242390977e-84
"257",4.34880608210522e-84
"258",8.88123711740139e-84
"259",1.81069676940332e-83
"260",3.68542124185467e-83
