"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.00089610246555532,0.000381635718264554,1.00313166671148e-05,6.28183633773835e-06,2.36522570542524e-09,2.75542050057733e-16,7.78638619934213e-19,1.83038140230344e-23,1.80306051357353e-25,3.20098532589259e-27
"2",0.00104467306625234,0.000569905024590768,2.56006677195059e-05,1.78337786967269e-05,2.06268164443551e-08,1.97225715258418e-14,1.43509624911794e-16,1.18724397304025e-20,2.26605590789254e-22,6.89707908501049e-24
"3",0.00121361318015871,0.000828818305882914,6.1366291362586e-05,4.7190143955251e-05,1.54168057384227e-07,1.03181075399871e-12,1.7778287618695e-14,4.76411839594836e-18,1.68023702521298e-19,8.43246036845232e-21
"4",0.00140475374493442,0.00117345082489941,0.000137949113313292,0.00011619671739849,9.8381352617056e-07,3.91868406972726e-11,1.47007672312408e-12,1.17138435219278e-15,7.26973962778865e-17,5.77943879464514e-18
"5",0.00161990539994314,0.00161726358558819,0.000290543293506132,0.000265979456810675,5.34811712476546e-06,1.07640262407529e-09,8.08979978960573e-11,1.75625851085205e-13,1.82471850586479e-14,2.20614022197502e-15
"6",0.00186082410767829,0.00217016670653568,0.000573175648252365,0.000565857588142162,2.47506270550785e-05,2.13768400436659e-08,2.96643930617057e-09,1.60605935454995e-11,2.65655560050663e-12,4.6880246682954e-13
"7",0.00212918957054726,0.00283680926072979,0.00105967287810776,0.00111953492793222,9.76418851591604e-05,3.0802636278213e-07,7.29349496170872e-08,9.01416907445592e-10,2.2576868924606e-10,5.58242744966697e-11
"8",0.00242663105531836,0.00361573542518372,0.00183876306556439,0.00206348342447026,0.000329618686816214,3.24841993145839e-06,1.21767697920035e-06,3.14909972479604e-08,1.13696412942792e-08,3.78460304570574e-09
"9",0.002754800742399,0.00449973382326196,0.00300267125528295,0.00355407720309466,0.000958542340015917,2.54379142713171e-05,1.40817691432192e-05,7.00661140109059e-07,3.47799627313378e-07,1.49978876717803e-07
"10",0.00311548930211418,0.00547726032641803,0.0046317436622929,0.00574506295200066,0.00242386806220937,0.000150904626936396,0.000115850395860265,1.02454404193036e-05,6.68673622114524e-06,3.60283322773601e-06
"11",0.00351074245673822,0.00653421537664811,0.00677937768197641,0.00876154656810189,0.00539023149368502,0.000694561378114521,0.000699618968764142,0.000102204255224493,8.41471732494307e-05,5.47900355324409e-05
"12",0.0039428809224701,0.00765501075782692,0.00945943531239235,0.0126751167040716,0.0106655726404594,0.00254222866676142,0.00320221685130131,0.000722782322104254,0.000722726890914371,0.000551598209068447
"13",0.00441444242280426,0.00882291744943228,0.012637063306933,0.0174826387520718,0.0189823297719152,0.00757053327221142,0.0114402373615941,0.0037544173486871,0.0044035009542363,0.0038313677345773
"14",0.00492807179533469,0.0100201208913014,0.0162238467885371,0.0230905898656289,0.0306736959860272,0.0187055305460694,0.0327133066922449,0.0147658960866534,0.0196741896204095,0.0190235500541346
"15",0.00548640386290532,0.011228075279927,0.0200797131520938,0.0293093540307879,0.045357413981095,0.0389824424919304,0.0764498224869348,0.0450932959642067,0.0662584999650082,0.0695447550845243
"16",0.00609203968525466,0.0124285514448972,0.0240250654758525,0.0358656379062556,0.061800189084131,0.0695060271060481,0.148667536616663,0.10928612056116,0.172267422899723,0.192044710211583
"17",0.00674758427790465,0.0136048267051126,0.0278611947087812,0.0424325414556007,0.0780851564384839,0.107433402626653,0.244567247872992,0.214431139203103,0.353427843319198,0.410143055456517
"18",0.00745571107214008,0.0147425207040753,0.0313935665300455,0.048669474536999,0.0920540530957652,0.145764994919348,0.345690243376738,0.347137626849136,0.584220430711534,0.692771394186629
"19",0.00821922513867308,0.0158298436410303,0.0344520101993051,0.0542609777038233,0.101847294999437,0.175683159710426,0.42606240231186,0.472070820812039,0.793631853263812,0.945385900515797
"20",0.00904106859246239,0.016857406429161,0.0369042390115893,0.0589455595347258,0.10632812040346,0.190178253507351,0.464135885693817,0.548306634815416,0.902366109361268,1.06306385144083
"21",0.00992429041290781,0.0178179638886035,0.0386630817903126,0.06253349601107,0.105266777673875,0.186765437547083,0.452391810783434,0.552189666678927,0.873132693401048,1.00279770822871
"22",0.0108720022595164,0.0187062830993213,0.0396886854377035,0.0649151130166085,0.0992735913883093,0.16790544418014,0.398880756053238,0.488742194488168,0.729806652659359,0.806453128881915
"23",0.0118873361892682,0.0195191548929081,0.0399866872726879,0.0660612372908041,0.0895510401593019,0.139330365293806,0.32132173548955,0.384885696436683,0.534161806910797,0.561096349085733
"24",0.0129734345754614,0.0202553337984836,0.0396024599381003,0.0660163472421291,0.0775664189625587,0.107534474633863,0.238650895455151,0.272741947131069,0.34667560479386,0.342357591810696
"25",0.0141334581862939,0.0209153071127728,0.0386120950002808,0.0648851508980831,0.0647451050237205,0.0777400239583343,0.16480393488055,0.175746090133567,0.201843403258887,0.185515203525237
"26",0.0153705997499465,0.0215009086298361,0.0371116708257217,0.0628149785518639,0.0522544443258715,0.0529879404076218,0.106638010575855,0.103973433259089,0.106564711603415,0.090321768790676
"27",0.016688092844174,0.0220148679442712,0.0352066718830012,0.0599772520756313,0.0409028141812256,0.0342557717323927,0.0651087076956441,0.0569734968670624,0.0515193301860765,0.0399325753403934
"28",0.0180891976971486,0.0224605139678855,0.033003434924039,0.0565515027693935,0.0311392148467666,0.0211182663991436,0.03774722730078,0.0291459776011241,0.0230106516522001,0.0161865957867396
"29",0.0195771737052917,0.0228416490438986,0.0306030015175985,0.0527131956899871,0.0231151228788468,0.0124762129736984,0.0208988801804423,0.0140204406892996,0.00957157794652942,0.00606837637420638
