x,y,measures_ 1,measures_ 2,measures_ 3,measures_ 4,measures_ 5,measures_ 6,measures_ 7,measures_ 8,measures_ 9,measures_10
0.22,0.97,0.00650648708697983,0.00563701754895871,0.00489659630418213,0.00426483980049356,0.00372473153675285,0.00326204496733196,0.002864868709769,0.00252321530870054,0.00222869836369617,0.00197426568464726
0.87,0.21,0.02308520554798,0.0202418636704604,0.0177926492026787,0.0156786209284667,0.0138501918207482,0.0122655645261442,0.0108894418598359,0.00969196155546168,0.00864781434313971,0.00773551226269804
0.21,0.47,0.0469959453858563,0.0432445142129883,0.0398950363517715,0.0368943903728279,0.034197610452947,0.0317664901925497,0.0295684459225739,0.0275755880564489,0.0257639597902635,0.0241129108566354
0.91,0.94,0.00629597550001161,0.0049734103231761,0.00396216480130069,0.00318442363805192,0.00258254893202791,0.00211371738646207,0.0017460084269528,0.00145554535695939,0.00122440195082016,0.00103906632726144
0.49,0.35,0.0615442513337918,0.0559244600390274,0.0509588260897045,0.046556772408952,0.0426420036851834,0.0391500198778641,0.0360260973907293,0.0332236443550287,0.030702856149253,0.028429612646865
0.61,0.56,0.0611602234372349,0.0538044053380242,0.0474916838394437,0.0420568387030595,0.0373631449312851,0.033297103485385,0.0297642052356741,0.0266855151738334,0.0239949097297831,0.0216368356251197
0.76,0.82,0.0299151696135997,0.0249699210168404,0.0209555437287135,0.0176832233240248,0.0150044083496307,0.0128019019389546,0.0109829826452253,0.00947408099390591,0.00821665104771347,0.0071639617090531
0.52,0.33,0.0598913721142661,0.0543391682118591,0.0494374288980213,0.0450959895524081,0.0412388809586354,0.0378018638058345,0.0347304257486577,0.0319781486998835,0.0295053734170424,0.0272781035848112
0.3,0.38,0.055530504182672,0.0512271252024465,0.0473838977081447,0.0439394769522006,0.0408420371658302,0.0380476261873709,0.0355188283707217,0.0332236742529297,0.0311347483809369,0.0292284567872264
0.19,0.58,0.0426638529749384,0.0388115468607231,0.0353950542635984,0.0323560520887837,0.0296451135653117,0.0272202042858149,0.0250454541429016,0.0230901510951575,0.021327913882481,0.0197360095752545
